TAMANHO_REGISTRO:136|LIVRE:-1
DELIM_CAMPO:|                                                                                                                           
name|episodes|votes|weight|rate|genres                                                                                                  
World Trigger|73|268|1170|4.37|Action, Fantasy, Sci-Fi, Shonen, Supernatural                                                            
Wise Man's Grandchild|0|267|975|3.65|Adventure, Fantasy, Isekai, Romance, Seinen                                                        
Bungo Stray Dogs|63|265|1226|4.63|Action, Comedy, Drama, Historical, Seinen, Supernatural                                               
Nagi no Asukara (Nagi-Asu: A Lull in the Sea)|0|259|1222|4.72|Drama, Fantasy, Romance, Slice Of Life                                    
Kokoro Connect|13|259|1158|4.47|Drama, Romance, Slice Of Life                                                                           
GAMERS!|12|259|991|3.83|Comedy, Romance, Slice Of Life                                                                                  
Monthly Girls' Nozaki-kun|12|258|1238|4.8|Comedy, Romance                                                                               
Captain Harlock|0|255|1175|4.61|Action, Drama                                                                                           
Beyond the Boundary|0|255|1109|4.35|Comedy, Drama, Fantasy, Supernatural                                                                
Orange|26|253|1151|4.55|Drama, Romance, Shojo, Supernatural                                                                             
Yonna in the Solitary Fortress|0|245|939|3.83|Adventure, Fantasy                                                                        
AMNESIA|0|244|854|3.5|Drama, Mystery, Romance                                                                                           
Chance Pop Session|0|243|1140|4.69|Drama                                                                                                
Akashic Records of Bastard Magic Instructor|24|243|997|4.1|Action, Adventure, Fantasy                                                   
MEGALOBOX|13|242|1160|4.79|Drama, Sci-Fi, Sports                                                                                        
The Melody of Oblivion|0|241|1020|4.23|Mecha, Romance, Supernatural                                                                     
STRIKE THE BLOOD|0|241|943|3.91|Action, Fantasy, Harem, Supernatural                                                                    
Canvas 2: Niji Iro no Sketch|0|235|1077|4.58|Harem                                                                                      
A Place Further Than the Universe|13|234|1146|4.9|Adventure, Seinen, Slice Of Life                                                      
King's Game|12|233|476|2.04|Drama, Mystery, Supernatural, Thriller                                                                      
Keijo!!!!!!!!|12|231|938|4.06|Action, Sports                                                                                            
Polar Bear Cafe|50|228|1053|4.62|Comedy, Slice Of Life                                                                                  
Mobile Suit GUNDAM Iron Blooded Orphans|50|228|1042|4.57|Action, Mecha, Sci-Fi                                                          
Upotte!!|10|228|945|4.14|Comedy, Seinen                                                                                                 
Blast of Tempest|0|226|1013|4.48|Action, Adventure, Fantasy, Mystery, Shonen                                                            
Yamada-kun and the Seven Witches|24|222|1045|4.71|Comedy, Drama, Fantasy, Harem, Romance, Slice Of Life, Supernatural                   
Lady Death|0|222|840|3.78|Action, Supernatural                                                                                          
WATAMOTE ~No Matter How I Look at It, It’s You Guys Fault I’m Not Popular!~|0|220|972|4.42|Comedy, Shonen, Slice Of Life                
KIZNAIVER|12|219|913|4.17|Drama, Romance, Sci-Fi                                                                                        
Kite Liberator|0|217|945|4.35|Action                                                                                                    
The Master of Ragnarok & Blesser of Einherjar|12|217|500|2.3|Adventure, Fantasy, Harem, Isekai                                          
Love Live!|13|216|1002|4.64|Drama, Idols, Music, Slice Of Life                                                                          
Tono to Issho|0|213|906|4.25|Comedy, Historical                                                                                         
Domestic Girlfriend|12|211|929|4.4|Drama, Romance                                                                                       
Record of Grancrest War|25|211|757|3.59|Action, Drama, Fantasy, Romance                                                                 
JUNI TAISEN: ZODIAC WAR|12|208|684|3.29|Action, Fantasy, Shonen, Supernatural                                                           
Love Stage!!|10|207|978|4.72|Romance, Slice Of Life                                                                                     
KAGUYA-SAMA: LOVE IS WAR|12|204|986|4.83|Comedy, Romance, Seinen                                                                        
Leiji Matsumoto's OZMA|6|203|826|4.07|                                                                                                  
Medaka Box|0|200|911|4.56|Romance                                                                                                       
TRINITY SEVEN|14|199|845|4.25|Action, Comedy, Fantasy, Harem, Romance, Shonen, Supernatural                                             
Fire Force|0|199|831|4.18|Action, Shonen, Supernatural                                                                                  
Eromanga Sensei|12|197|746|3.79|Harem, Romance                                                                                          
Himouto! Umaru-chan|12|196|890|4.54|Comedy, Slice Of Life                                                                               
Ace of the Diamond|176|195|902|4.63|Shonen, Slice Of Life, Sports                                                                       
School-Live!|12|195|882|4.52|Comedy, Drama, Mystery, Post-Apocalyptic, Slice Of Life, Thriller                                          
BTOOOM!|0|191|839|4.39|Action, Drama, Mystery, Sci-Fi, Seinen                                                                           
High School Prodigies Have It Easy Even In Another World|12|189|597|3.16|Action, Adventure, Fantasy, Isekai                             
Digimon Adventure tri.|26|188|812|4.32|Adventure, Drama, Sci-Fi                                                                         
Kimi ni Todoke - From Me To You|0|187|863|4.61|Shojo                                                                                    
Tsukigakirei|13|186|896|4.82|Drama, Romance, Slice Of Life                                                                              
Masamune-kun's Revenge|13|186|671|3.61|Comedy, Drama, Romance                                                                           
Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?|12|186|529|2.84|                                                             
Kotoura-san|12|182|834|4.58|Comedy, Drama, Romance, Supernatural                                                                        
Sword Art Online Alternative: Gun Gale Online|13|182|678|3.73|Action, Adventure, Drama, Isekai, Sci-Fi                                  
ZOMBIE LAND SAGA|12|181|815|4.5|Comedy, Drama, Idols, Music, Supernatural                                                               
I Can't Understand What My Husband Is Saying|26|180|837|4.65|Comedy, Romance, Seinen, Slice Of Life                                     
My Mental Choices are Completely Interfering with my School Romantic Comedy|10|179|782|4.37|Comedy, Harem, Romance, Slice Of Life       
Total Eclipse|25|179|658|3.68|Action, Adventure, Mecha                                                                                  
ASSASSINS PRIDE|12|179|568|3.17|Action, Fantasy                                                                                         
Os Cavaleiros do Zodíaco - Ômega|97|177|716|4.05|                                                                                       
Hundred|12|177|540|3.05|Action, Comedy, Fantasy, Harem, Romance, Sci-Fi                                                                 
My First Girlfriend is a Gal|10|175|598|3.42|Comedy, Harem, Romance, Slice Of Life                                                      
Laid-Back Camp|12|174|843|4.84|Adventure, Comedy, Slice Of Life                                                                         
NEW GAME!|24|174|783|4.5|Comedy, Slice Of Life                                                                                          
Restaurant to Another World|12|174|781|4.49|Drama, Fantasy, Isekai, Seinen, Slice Of Life                                               
Cells at Work!|14|172|819|4.76|Comedy                                                                                                   
Knight’s & Magic|13|172|682|3.97|Action, Adventure, Isekai, Mecha, Sci-Fi                                                               
Cowboy Bebop|0|171|843|4.93|Action, Drama, Sci-Fi                                                                                       
The World is Still Beautiful|12|171|795|4.65|Adventure, Fantasy, Romance, Shojo                                                         
Wolf Girl and Black Prince|12|170|671|3.95|Comedy, Romance, Shojo, Slice Of Life                                                        
Run with the Wind|23|168|831|4.95|Drama, Shonen, Slice Of Life, Sports                                                                  
Angels of Death|16|167|650|3.89|Mystery                                                                                                 
Mushishi|22|166|810|4.88|Adventure, Fantasy, Seinen, Slice Of Life, Supernatural                                                        
Uta no Prince Sama|39|166|734|4.42|Drama, Harem, Music, Romance                                                                         
Problem Children are Coming from Another World, aren't they?|10|165|759|4.6|Action, Comedy, Fantasy, Isekai                             
Alderamin on the Sky|13|165|749|4.54|Action, Adventure, Drama, Fantasy                                                                  
Arpeggio of Blue Steel|0|165|733|4.44|Action, Adventure, Drama, Sci-Fi, Seinen                                                          
Blue Spring Ride|0|164|766|4.67|Comedy, Drama, Romance                                                                                  
91 Days|14|163|770|4.72|Action, Drama, Historical, Seinen                                                                               
RADIANT|42|162|610|3.77|Action, Adventure, Fantasy, Shonen                                                                              
Magical Warfare|0|162|441|2.72|Action, Fantasy                                                                                          
Fruits Basket|0|161|790|4.91|Comedy, Drama, Shojo, Slice Of Life, Supernatural                                                          
Phantom Thief Reinya|0|161|715|4.44|Comedy                                                                                              
The Fruit of Grisaia|24|161|710|4.41|Drama, Romance, Thriller                                                                           
GOD EATER|13|161|644|4.0|Action, Post-Apocalyptic, Sci-Fi                                                                               
Welcome to Demon School! Iruma-kun|23|158|757|4.79|Comedy, Supernatural                                                                 
Kamigami no Asobi|12|158|689|4.36|Harem, Romance, Supernatural                                                                          
The Quintessential Quintuplets|12|157|716|4.56|Comedy, Harem, Romance, Slice Of Life                                                    
GIRLS und PANZER|0|157|707|4.5|Action, Slice Of Life, Sports                                                                            
Maoyu|12|157|683|4.35|Adventure, Fantasy, Romance                                                                                       
WorldEnd: What do you do at the end of the world? Are you busy? Will you save us|12|156|724|4.64|Drama, Fantasy, Romance, Sci-Fi, Seinen
GLASSLIP|13|155|439|2.83|Drama, Romance, Slice Of Life                                                                                  
Rozen Maiden Zurückspulen|0|155|257|1.66|Drama, Fantasy, Supernatural                                                                   
Witch Craft Works|12|153|662|4.33|Action, Fantasy, Seinen, Supernatural                                                                 
Flowers of Evil|13|151|640|4.24|Drama, Romance, Shonen, Thriller                                                                        
given|11|149|723|4.85|Drama, Music, Romance                                                                                             
KARAKAI JOZU NO TAKAGI-SAN|12|149|718|4.82|Comedy, Romance, Slice Of Life                                                               
Interviews with Monster Girls|26|149|695|4.66|Comedy, Seinen, Slice Of Life, Supernatural                                               
Sunday Without God|12|148|657|4.44|Adventure, Drama, Fantasy, Mystery, Post-Apocalyptic, Supernatural                                   
The Lost Village|12|148|458|3.09|Comedy, Mystery, Supernatural, Thriller                                                                
Taboo Tattoo|12|148|331|2.24|Action, Fantasy, Sci-Fi                                                                                    
March comes in like a lion|45|146|700|4.79|Drama, Romance                                                                               
HINAMATSURI|12|146|700|4.79|Comedy, Drama, Slice Of Life, Supernatural                                                                  
Haven’t You Heard? I’m Sakamoto|13|145|663|4.57|Comedy, Seinen, Slice Of Life                                                           
The Ambition of Oda Nobuna|12|145|661|4.56|Action, Fantasy, Historical                                                                  
BLEND-S|12|144|652|4.53|Comedy, Slice Of Life                                                                                           
Didn't I say to make my abilities average in the next life|12|144|548|3.81|Comedy, Fantasy, Isekai                                      
Tonari no Seki-kun: The Master of Killing Time|21|143|672|4.7|Comedy, Romance, Seinen, Slice Of Life                                    
Magical Girl Raising Project|12|143|515|3.6|Action, Drama, Fantasy, Seinen                                                              
MEKAKUCITY ACTORS|12|142|578|4.07|Action, Music, Romance, Sci-Fi                                                                        
ORESUKI Are you the only one who loves me?|13|141|660|4.68|Romance                                                                      
Sound! Euphonium|27|141|655|4.65|Drama, Music, Romance, Slice Of Life                                                                   
Ushio and Tora|39|141|644|4.57|Action, Adventure, Fantasy, Shonen, Supernatural                                                         
Flying Witch|12|139|652|4.69|Comedy, Fantasy, Shonen, Slice Of Life, Supernatural                                                       
Campione!|13|139|607|4.37|Fantasy, Harem, Romance                                                                                       
Brynhildr in the Darkness|13|139|544|3.91|Action, Drama, Fantasy, Mystery, Romance                                                      
Blade and Soul|13|138|417|3.02|Action, Adventure, Fantasy                                                                               
Silver Spoon|22|136|668|4.91|Comedy, Romance, Shonen, Slice Of Life                                                                     
You and Me 2|13|136|643|4.73|Slice Of Life                                                                                              
Kino no Tabi -the Beautiful World- the Animated Series|12|136|617|4.54|Action, Adventure, Drama, Fantasy, Mystery, Seinen, Slice Of Life
Bakemonogatari|0|135|599|4.44|Action, Comedy, Drama, Harem, Mystery, Seinen, Supernatural                                               
DRAMAtical Murder|12|135|538|3.99|Action, Drama, Romance, Sci-Fi                                                                        
Ace Attorney|47|134|506|3.78|Comedy, Drama, Mystery                                                                                     
